"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Gm53928",43.7226744495959,-1.34288592660938,0.95763275926458,-1.40229739805545,0.160826457083377,0.970012393906162,"No"
"Slc38a6",254.773273846615,-1.34246242603334,0.466243606935529,-2.87931546098169,0.00398539462654249,0.421498218167211,"No"
"Dbn1",1419.92262689393,-1.34236575286878,0.560296309793249,-2.39581401734399,0.0165835024670016,0.661644127715687,"No"
"Ccdc62",27.8748233983976,-1.34171668585048,0.817552397229386,-1.64113846451608,0.100768675806002,0.914323650109875,"No"
"Adhfe1",24.9063220066058,-1.34135719851141,1.11392769778404,-1.20416899694639,0.228524266299233,0.991751278852058,"No"
"Rassf2",251.818576986146,-1.33981731832143,0.913044110815554,-1.46741795106117,0.142262394167925,0.960223630127533,"No"
"Gamt",215.170659371545,-1.33927474398359,0.70582160240361,-1.89746918969725,0.0577660414294807,0.840338103946895,"No"
"Castor2",235.773800603539,-1.33772901294991,0.414329238510159,-3.2286618674562,0.00124370852126116,0.268957620943278,"No"
"Hecw2",33.518016001023,-1.33622421902705,1.13989103316043,-1.17223855627873,0.241101292605209,0.993575480947947,"No"
"Slc12a7",1145.05778461327,-1.33500986613248,0.583030067156746,-2.28977876328558,0.0220341448401968,0.700228912043894,"No"
"Mtmr11",296.821088268315,-1.33377338178084,0.616577144499481,-2.16318978684096,0.0305265854708606,0.741563877522602,"No"
"Stac2",237.293764035316,-1.33193970177884,1.32776952791558,-1.00314073623139,0.315792962269572,0.999944754498866,"No"
"Apbb1ip",307.800794436825,-1.33144215698324,1.17502169342115,-1.13312134102534,0.25716330048,0.999944754498866,"No"
"Gm33887",274.700861851606,-1.33130646070529,0.365178963354319,-3.64562747119027,0.000266740152806962,0.110147892019321,"No"
"Atp8a1",339.59341418867,-1.32903477694332,1.07592980212634,-1.23524301893745,0.216740073291505,0.991751278852058,"No"
"Smarcd3",240.739885557787,-1.32831218938863,0.402106780010061,-3.30338172700145,0.000955262557977162,0.236706101345424,"No"
"Cdc42ep5",54.5940710584227,-1.32770313079275,0.78311538731031,-1.69541187966295,0.0899973138901368,0.900556609516864,"No"
"Idh1",1434.96527899448,-1.32490295295082,0.4265027514533,-3.1064347145153,0.00189358116173675,0.336153049816371,"No"
