"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","Significant"
"Mrps22",0.283816253586368,4.25493558658324,2.4647723978454,0.0164505847160278,0.022846313195287,-4.37218920644987,"Mrps22","No"
"Spdya",0.283772068325924,1.22216840588608,0.843270869884581,0.402269508747638,0.445236843084812,-5.89489468557342,"Spdya","No"
"Adgrd1",-0.283563527500154,4.1341331745989,-2.31175424499242,0.0240758933297096,0.032714035014696,-4.65921309918308,"Adgrd1","No"
"Cct8",0.283436836734867,8.47049637618407,8.9173839704021,9.05157859126988e-13,3.65421697750962e-12,17.5075313054076,"Cct8","No"
"Bmp5",0.283249179689142,0.059999055089621,0.592738162046103,0.55547956734672,0.595304034955625,-5.74774411061504,"Bmp5","No"
"Blnk",0.283225754130079,1.04314464553908,0.791547832565503,0.431596537292829,0.474334528566403,-5.88256770031587,"Blnk","No"
"Lat2",0.282885144194209,0.32190278206145,0.635876794445485,0.527161568195318,0.567890168497374,-5.78930446070078,"Lat2","No"
"Cspp1",0.28286674321026,4.05835380820612,2.28405000130138,0.0257518629426002,0.0348628484140821,-4.7006664639627,"Cspp1","No"
"Mbnl1",-0.282757291897148,7.32667611793062,-6.55550033416465,1.18499503423648e-08,3.20620140327253e-08,8.32398719611573,"Mbnl1","No"
"Usp8",0.282756432894799,6.89006224456369,5.88440694627472,1.67070074455624e-07,3.9922379267758e-07,5.81660226248098,"Usp8","No"
"Ranbp10",-0.28275620126329,6.07078372996929,-4.55562940541054,2.45519445069383e-05,4.70209942843888e-05,1.17738691627213,"Ranbp10","No"
"Mrto4-ps2",-0.282720771803003,-0.331571458321833,-0.533102289588709,0.595839695670069,0.634205446261286,-5.68191218881529,"Mrto4-ps2","No"
"Khdrbs1",-0.282610953649977,7.3219965568863,-6.70852789540091,6.43790573364098e-09,1.78369360693697e-08,8.93154137819158,"Khdrbs1","No"
"Plgrkt",-0.282580853455686,4.01346185217778,-2.24452031455963,0.0283219300930779,0.0381283265776386,-4.75942272219907,"Plgrkt","No"
"Ephb3",-0.282578162017099,6.13779061784864,-4.68431443768417,1.54577250971893e-05,3.02946763531803e-05,1.6060045668795,"Ephb3","No"
"Pogk",0.28249376302138,5.97614837538501,4.3535712441073,5.01977039031988e-05,9.31661523505399e-05,0.506718626111013,"Pogk","No"
"Prss36",-0.282438445044807,3.21563351977719,-1.66005535068405,0.101876665385842,0.12607991738498,-5.55719322994137,"Prss36","No"
"Ankrd44",-0.282432648921243,4.42755792877112,-2.57285198445037,0.0124557500605465,0.017587238198457,-4.17349321118595,"Ankrd44","No"
"Nudcd2",0.282425500271113,6.12345527443356,4.63850625826928,1.82365255709115e-05,3.54372186251323e-05,1.44148103804687,"Nudcd2","No"
"Mthfd1",0.282411780564958,6.12510990887495,4.64005457026252,1.81351082486015e-05,3.52607919865148e-05,1.44636740279476,"Mthfd1","No"
"Dlg1",0.282227690167568,6.96876123675768,5.91864184348444,1.46186927886866e-07,3.51155497786873e-07,5.92642968843789,"Dlg1","No"
"Slc35f3",0.282128694148166,0.449899438135919,0.643058784968115,0.522521274058913,0.563394313366747,-5.81858747043347,"Slc35f3","No"
"Rfk",0.281956989175302,5.4820944223277,3.76137513411508,0.000372937854151407,0.000628858876525124,-1.25960649234334,"Rfk","No"
"Nqo2",0.281948795919679,4.18669394418681,2.37298077860205,0.0207111861186763,0.0284008558408377,-4.55351398230674,"Nqo2","No"
"Ntmt1",-0.281785367055332,5.65270484091353,-3.95186035846387,0.000198794888648349,0.000345800465459072,-0.706765893414287,"Ntmt1","No"
"Lsm14a",0.281783429890167,7.2026977189517,6.51637772583537,1.38457917639444e-08,3.71516150949258e-08,8.1973412263778,"Lsm14a","No"
"Impa2",-0.281743101721786,5.32448436553257,-3.52703530647689,0.000790386144319774,0.00128683744384897,-1.9152093400129,"Impa2","No"
"Napa",-0.281739988718836,6.61001839044012,-5.3457575656456,1.32831734257151e-06,2.9168046989734e-06,3.86095147733423,"Napa","No"
"Mospd3",0.281539105218518,5.17598309199839,3.40102946950773,0.00117064614508631,0.00187083517094578,-2.24462998952936,"Mospd3","No"
"Trak1",-0.281519551155648,6.1615011743721,-4.70937216659341,1.41172340391706e-05,2.78071174708341e-05,1.6867163363231,"Trak1","No"
"Shoc2",-0.281483052824609,5.82366518195171,-4.11019022575313,0.000116453536512935,0.000207434815307663,-0.248793676300962,"Shoc2","No"
"Pcdhb19",0.281400360515848,1.5782675952961,0.939169750236499,0.351232934736652,0.393506581338143,-5.92175556159956,"Pcdhb19","No"
"Pithd1",-0.281381944556837,4.99030187533806,-3.1332688822206,0.00262416800809636,0.00402184576139834,-2.93285029008955,"Pithd1","No"
"Cnot3",-0.281379619345563,6.36759456495677,-4.73374052992255,1.29227746417661e-05,2.55796168498067e-05,1.70741891155948,"Cnot3","No"
"Ogfr",0.281328966213289,6.25010221213722,4.8326830629351,9.00859450196227e-06,1.81649830501363e-05,2.08821026753123,"Ogfr","No"
"Msi2",-0.281256970153715,6.44729631687239,-5.12816472194091,3.01625786316503e-06,6.40502429621702e-06,3.10538280070098,"Msi2","No"
"Ndufa1",0.281203784566234,3.41182093136271,1.77302204723523,0.0810621758219583,0.101992352783002,-5.44856261076612,"Ndufa1","No"
"Dusp7",0.281159745534567,5.20763261884459,3.28835913236531,0.00165182080781065,0.0025975914468521,-2.57936874769908,"Dusp7","No"
"Xpo1",0.281104465456861,7.83382555546533,7.66530059248552,1.37957412022625e-10,4.46863515663329e-10,12.623666171187,"Xpo1","No"
"Prpf40a",0.281094751672755,7.43446427631852,6.65154193346336,8.08192943237525e-09,2.2238708807079e-08,8.66950532917398,"Prpf40a","No"
"Fth1",0.281033359004206,10.6006566951313,14.8994573940002,2.58026249009071e-22,2.78006528356039e-21,39.116302000111,"Fth1","No"
"Zcchc14",-0.280975849240694,7.62264548166253,-7.10674306269542,1.30602720577835e-09,3.85849212764341e-09,10.4398995700494,"Zcchc14","No"
"Sh3pxd2a",-0.28088364480722,7.4608130357489,-6.93090696682245,2.64455525494934e-09,7.59001653063731e-09,9.77954886318959,"Sh3pxd2a","No"
"Lclat1",-0.280853520150778,5.71897667267143,-4.04538436750412,0.000145131236316676,0.000255975555523195,-0.426330815236668,"Lclat1","No"
"Cdk12",-0.280802461882671,5.40153663644382,-3.43214408959977,0.00106322910921179,0.00170615367452579,-2.22129145133051,"Cdk12","No"
"Carm1",-0.280679559717199,6.64216819008441,-5.3721933954859,1.20144441801628e-06,2.6482851552222e-06,3.95012178352452,"Carm1","No"
"Tcn2",0.280622444635891,5.96088447582133,4.40721129035828,4.15756569713709e-05,7.77727269782945e-05,0.694348634577751,"Tcn2","No"
"Eno2",0.280202833614785,4.70364633765355,2.86565812567497,0.00565074245771882,0.00832219631462994,-3.55530139680134,"Eno2","No"
